[header]
width=200
height=32
tilewidth=21
tileheight=21
orientation=orthogonal

[tilesets]
tileset=spritesheet.png,21,21,0,0

[layer]
type=Tile Layer 1
data=
410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,
440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,
470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,
410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,
440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,
470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,
410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,
440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,442,443,444,445,446,447,448,449,450,440,441,
470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,472,473,474,475,476,477,478,479,480,470,471,
410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,412,413,414,415,416,417,418,419,420,410,411,
